Name,Gender
أبد,Male
أبدع,Male
إبراهيم,Male
أبره,Male
أبسل,Male
أبسم,Male
أبشر,Male
أبلج,Male
أبي,Male
أجاد,Male
أجزل,Male
أجمل,Male
أجوب,Male
أجود,Male
إحسان,Male
أحسب,Male
أحسن,Male
أحشم,Male
أحمد,Male
أحيد,Male
أخزم,Male
أفصح,Male
أفضل,Male
أفقه,Male
افكه,Male
أكثم,Male
أكرم,Male
إكليل,Male
ألمع,Male
أكمل,Male
إلفي,Male
إلياس,Male
ألمعي,Male
أخير,Male
أخيل,Male
أُدد,Male
أدرد,Male
أدرم,Male
إدريس,Male
أدغم,Male
أدلم,Male
آدم,Male
إدام,Male
أدهم,Male
أديب,Male
أربد,Male
أرجح,Male
أرجوان,Male
أرحب,Male
أرحم,Male
أرسلان,Male
أرشد,Male
أرغد,Male
أرقم,Male
أركان,Male
أليف,Male
أماثل,Male
إمام,Male
أمجد,Male
أمير,Male
أمين,Male
أمية,Male
أنجب,Male
أنجح,Male
أنس,Male
أنف,Male
أنوار,Male
أريج,Male
أزهد,Male
أزهر,Male
أسامة,Male
إسحاق,Male
أسد,Male
أسعد,Male
آسر,Male
أسلع,Male
أسلم,Male
إسماعيل,Male
أسمح,Male
أسهم,Male
أسيد,Male
أشرف,Male
أشهم,Male
أصلان,Male
إعجاز,Male
أعز,Male
أغلب,Male
أفخر,Male
أفخم,Male
أنور,Male
أنوس,Male
أنيس,Male
أهيف,Male
أهيم,Male
أوس,Male
أويس,Male
إيهاب,Male
إيمان,Male
إياس,Male
أيهم,Male
أيوب,Male
بادي,Male
باذخ,Male
بارح,Male
بارع,Male
بارق,Male
باسق,Male
باسل,Male
باسم,Male
باشر,Male
باشق,Male
باقر,Male
باقي,Male
باكر,Male
بديل,Male
براء,Male
بّراق,Male
بُرد,Male
بركات,Male
برهان,Male
بريء,Male
بزاز,Male
بسام,Male
بسطام,Male
بُسر,Male
بسمان,Male
بسيط,Male
بسيم,Male
بشار,Male
بشارة,Male
بشاش,Male
بشر,Male
بشوش,Male
بشير,Male
باهر,Male
باهي,Male
بُحتري,Male
بحر,Male
بحري,Male
بُحير,Male
بُحيرا,Male
بدر,Male
بدران,Male
بدري,Male
بدوي,Male
بدير,Male
بصير,Male
بطاح,Male
بكار,Male
بكر,Male
بكري,Male
